GENEID,BSS_1,BSS_2,BSS_3,M_1,M_2,M_3
LOC_Os11g04500,10.83550425,27.03850648,17.18072376,90.33632117,160.7353938,61.87293297
LOC_Os03g11960,857.3592737,1052.811846,934.7387523,1723.000077,1326.854917,1649.00741
LOC_Os07g34650,453.7367404,660.7535021,651.7937078,1304.368345,1356.795824,793.0985044
LOC_Os05g04070,21.6710085,10.13943993,10.20105474,82.624684,117.399871,59.9979956
LOC_Os09g14600,54.17752124,103.084306,94.49398071,284.228913,280.4990205,179.9939868
LOC_Os06g51460,75.84852974,256.8658116,89.66190215,441.7666438,540.5121575,314.9894769
LOC_Os12g42280,29.79763668,6.75962662,7.516566647,135.5044818,66.97308074,95.62180549
LOC_Os05g02010,172.0136299,268.6951581,176.1024186,426.3433694,444.3860887,462.1720599
LOC_Os12g41920,380.5970867,419.0968504,325.8968539,763.4520802,756.4018531,589.6678005
LOC_Os11g19230,2.708876062,0,0,19.82992416,26.7892323,69.37268242
LOC_Os01g74170,2.708876062,1.689906655,0,20.93158661,89.82272006,18.74937363
LOC_Os07g46980,0,0,0,13.21994944,30.72882528,26.24912308
LOC_Os05g37820,102.9372904,86.1852394,134.2244044,369.0569219,240.3151721,249.3666692
LOC_Os07g05810,1213.576476,1149.136525,1323.989525,1856.301234,2073.013829,1792.440119
LOC_Os12g34880,247.8621597,268.6951581,248.0466994,662.0991345,672.8824818,349.6758181
LOC_Os05g38680,41.98757896,8.449533275,1.073795235,93.64130853,273.4077532,92.80939945
LOC_Os01g52920,3497.158996,2925.22842,2875.62364,4673.252127,5008.010603,4194.23488
LOC_Os02g33580,125.9627369,101.3943993,62.28012365,274.3139509,226.9205559,293.4276972
LOC_Os01g17050,440.1923601,577.948076,308.1792325,662.0991345,845.4366546,1424.952396
LOC_Os03g55820,37.92426487,70.97607951,121.8757592,219.2308282,284.4386135,254.0540126
LOC_Os06g04390,916.954547,724.969955,638.908165,1209.625374,1469.468183,1233.708785
LOC_Os03g57500,383.3059628,378.5390907,353.81553,605.9143493,678.397912,732.1630401
LOC_Os11g09460,10.83550425,6.75962662,33.82454991,101.3529457,170.190417,69.37268242
LOC_Os12g17830,231.6089033,150.4016923,187.9141662,592.6943999,295.4694739,474.3591527
LOC_Os09g35010,8538.377348,9618.94868,6114.19007,10801.80036,12760.34168,16272.58137
LOC_Os03g59200,24.37988456,15.20915989,19.86521185,158.6393933,80.36769689,70.3101511
LOC_Os07g48520,130.026051,135.1925324,124.5602473,323.8887613,337.2291595,250.3041379
LOC_Os03g36960,9.481066217,5.069719965,22.54969994,87.03133381,102.4294176,71.24761978
LOC_Os03g08400,101.5828523,20.27887986,75.70256409,384.4801962,182.7971145,205.3056412
LOC_Os01g08930,70.43077761,52.3871063,75.70256409,234.6541026,178.8575215,176.2441121
LOC_Os07g01480,86.68403399,99.70449264,120.2650664,291.9405501,280.4990205,215.6177967
LOC_Os02g51030,6.772190155,6.75962662,1.073795235,67.20140965,78.0039411,26.24912308
LOC_Os01g73234,102.9372904,263.6254382,78.38705218,480.3248297,435.7189841,363.7378483
LOC_Os06g40090,2.708876062,5.069719965,8.053464265,62.79475984,43.33552283,59.06052692
LOC_Os01g37130,148.9881834,380.2289974,185.7665757,586.0844252,629.546959,498.7333384
LOC_Os11g38480,132.734927,62.52654623,51.54217129,338.2103732,152.0682892,335.6137879
LOC_Os07g22820,0,0,0,9.91496208,40.97176704,19.68684231
LOC_Os10g10244,650.1302549,689.4819152,712.4631386,1153.440589,1128.299431,1051.83986
LOC_Os05g50624,404.9769713,485.00321,374.7545371,765.6554051,833.6178756,678.7273253
LOC_Os10g35530,10.83550425,69.28617285,34.36144753,186.1809546,159.9474752,161.2446132
LOC_Os07g25410,16.25325637,1.689906655,3.221385706,90.33632117,77.21602251,43.12355934
LOC_Os04g38960,325.0651275,246.7263716,253.9525731,451.6816059,691.7925282,538.1070231
LOC_Os03g37730,173.368068,177.4401988,128.8554282,397.7001457,315.9553574,354.3631615
LOC_Os10g39780,411.7491614,307.5630112,475.1543916,688.5390333,825.7386897,739.6627895
LOC_Os01g57240,2.708876062,0,0.536897618,41.86317323,20.48588352,43.12355934
LOC_Os12g16360,112.4183566,96.32467933,96.64157118,283.1272505,256.073544,220.3051401
LOC_Os05g06530,40.63314093,101.3943993,36.509038,247.874052,224.5568001,151.8699264
LOC_Os07g12510,237.0266554,177.4401988,325.8968539,527.6963152,750.0985043,415.2986258
LOC_Os03g11480,219.418961,258.5557182,223.8863066,437.359994,529.4812972,431.2355934
LOC_Os07g46600,135.4438031,214.6181452,102.547445,358.0402973,368.7459034,362.8003797
LOC_Os03g24730,36.56982684,25.34859982,48.32078559,110.1662453,122.9153011,198.7433604
LOC_Os02g26294,47.40533109,25.34859982,69.25979268,150.9277561,271.831916,126.558272
LOC_Os12g39420,361.6349543,647.2342489,519.7168939,1019.037769,1131.451105,789.3486296
LOC_Os02g33020,65.01302549,221.3777718,95.03087832,418.6317323,312.803683,374.0500038
LOC_Os01g03180,41.98757896,1.689906655,47.24699035,118.979545,250.5581138,164.0570192
LOC_Os04g40980,223.4822751,239.966745,290.9985088,484.7314795,531.0571344,469.6718093
LOC_Os06g02500,21.6710085,72.66598616,22.01280232,182.8759673,151.2803706,145.3076456
LOC_Os07g06940,105.6461664,59.14673292,64.96461174,301.8555122,222.1930444,163.1195505
LOC_Os06g07020,98.87397627,35.48803975,77.85015456,262.1956639,278.1352647,154.6823324
LOC_Os04g38330,142.2159933,165.6108522,157.8478996,277.6189382,378.9888452,377.7998786
LOC_Os03g01930,10.83550425,3.37981331,9.664157118,121.1828699,48.06303442,39.37368461
LOC_Os02g08260,386.0148389,160.5411322,182.0082924,591.5927374,654.7603541,480.9214335
LOC_Os09g23190,0,0,0,2.203324907,59.09389477,16.87443626
LOC_Os04g51770,143.5704313,126.7429991,147.1099472,323.8887613,277.3473461,337.4887253
LOC_Os01g33514,226.1911512,202.7887986,242.6777232,482.5281546,411.2935076,445.2976236
LOC_Os01g26940,476.7621869,584.7077026,598.6408437,999.2078452,1189.757081,786.5362236
LOC_Os06g04480,75.84852974,202.7887986,85.90361882,462.6982304,309.6520086,273.7408549
LOC_Os02g57100,43.34201699,52.3871063,71.40738315,181.7743048,177.2816843,161.2446132
LOC_Os02g10590,1.354438031,1.689906655,9.664157118,37.45652341,95.33815024,43.12355934
LOC_Os08g37790,524.167518,740.1791149,634.6129841,1288.94507,872.2258869,1241.208534
LOC_Os03g61720,0,0,0,4.406649813,41.75968564,25.31165439
LOC_Os12g01580,173.368068,299.1134779,177.1762138,573.9661382,549.1792621,351.5507555
LOC_Os01g06020,50.11420715,49.00729299,33.28765229,157.5377308,175.7058471,115.3086478
LOC_Os09g21250,37.92426487,119.9833725,20.93900709,245.6707271,234.7997419,222.1800775
LOC_Os02g16709,27.08876062,13.51925324,20.40210947,98.04795835,98.48982462,90.93446209
LOC_Os07g39270,262.760978,434.3060103,307.1054373,691.8440207,779.2514924,535.294617
LOC_Os12g13940,0,42.24766637,13.95933806,161.9443806,154.432045,98.43421154
LOC_Os10g31030,172.0136299,145.3319723,174.4917257,327.1937486,331.7137293,403.111533
LOC_Os03g08070,75.84852974,108.1540259,125.6340425,208.2142037,396.3230543,241.8669198
LOC_Os04g41830,361.6349543,383.6088107,261.4691398,668.7091092,686.277098,557.7938654
LOC_Os02g45940,20.31657047,20.27887986,33.82454991,110.1662453,128.4307313,88.12205604
LOC_Os12g36870,5.417752124,3.37981331,36.509038,132.1994944,108.7327664,99.37168022
LOC_Os08g15270,54.17752124,131.8127191,197.5783233,317.2787866,308.86409,516.5452434
LOC_Os04g52000,731.3965368,665.8232221,680.7861792,960.6496593,1166.907442,1350.89237
LOC_Os03g59060,237.0266554,261.9355315,239.9932351,426.3433694,525.5417042,474.3591527
LOC_Os01g61120,70.43077761,98.01458599,28.45557374,215.9258409,262.3768928,178.1190494
LOC_Os02g29960,1.354438031,25.34859982,7.516566647,131.0978319,81.94353409,56.24812088
