,Distance,Treatment,time,mean,se
110,12.529,high light,0 min,41.952075,3.629284982
111,12.644,high light,0 min,41.947925,3.657843327
112,12.759,high light,0 min,41.761125,3.590814346
113,12.874,high light,0 min,41.875125,3.673202775
114,12.989,high light,0 min,41.65035,3.55968545
115,13.103,high light,0 min,41.65615,3.567254473
116,13.218,high light,0 min,41.57365,3.581537784
117,13.333,high light,0 min,41.42085,3.53247672
118,13.448,high light,0 min,41.507125,3.657984108
119,13.563,high light,0 min,41.335675,3.606781533
120,13.678,high light,0 min,41.417875,3.705905441
121,13.793,high light,0 min,41.336975,3.696188851
122,13.908,high light,0 min,41.161025,3.634748288
123,14.023,high light,0 min,41.124375,3.728961052
124,14.138,high light,0 min,40.79145,3.589955319
125,14.253,high light,0 min,40.734225,3.650382294
126,14.368,high light,0 min,40.551475,3.5700885
127,14.483,high light,0 min,40.382225,3.535330616
128,14.598,high light,0 min,40.391025,3.621592562
129,14.713,high light,0 min,40.151375,3.501220512
130,14.828,high light,0 min,40.22885,3.604103565
131,14.943,high light,0 min,40.1387,3.536291248
132,15.057,high light,0 min,40.076875,3.556479105
133,15.172,high light,0 min,40.1687,3.640776965
134,15.287,high light,0 min,39.992825,3.541403344
135,15.402,high light,0 min,40.196875,3.66670008
136,15.517,high light,0 min,40.165825,3.615621423
137,15.632,high light,0 min,40.2443,3.695002232
138,15.747,high light,0 min,40.383125,3.777103272
139,15.862,high light,0 min,40.270525,3.689964012
140,15.977,high light,0 min,40.491025,3.804903289
141,16.092,high light,0 min,40.373675,3.675900812
142,16.207,high light,0 min,40.464025,3.678323551
143,16.322,high light,0 min,40.502825,3.637758181
144,16.437,high light,0 min,40.31075,3.44685929
145,16.552,high light,0 min,40.414675,3.465664552
146,16.667,high light,0 min,40.250725,3.298494282
147,16.782,high light,0 min,40.3435,3.282798599
148,16.897,high light,0 min,40.361775,3.216654334
149,17.011,high light,0 min,40.250925,3.07884535
150,17.126,high light,0 min,40.325175,3.167350571
151,17.241,high light,0 min,40.037475,3.043573429
152,17.356,high light,0 min,40.010475,3.119426895
153,17.471,high light,0 min,39.88455,3.113814013
154,17.586,high light,0 min,39.804825,3.043513606
155,17.701,high light,0 min,39.94435,3.140441052
156,17.816,high light,0 min,39.763775,2.923462489
157,17.931,high light,0 min,39.91415,3.007145397
158,18.046,high light,0 min,39.8065,2.950892058
159,18.161,high light,0 min,39.71965,2.86973731
160,18.276,high light,0 min,39.804125,2.928337549
161,18.391,high light,0 min,39.692775,2.748533538
162,18.506,high light,0 min,39.86565,2.835264275
163,18.621,high light,0 min,39.816325,2.754722726
164,18.736,high light,0 min,39.78975,2.772513616
165,18.851,high light,0 min,39.840825,2.877399734
166,18.966,high light,0 min,39.663225,2.750102678
167,19.08,high light,0 min,39.8304,2.901158155
168,19.195,high light,0 min,39.756225,2.767505956
169,19.31,high light,0 min,39.75915,2.775419394
170,19.425,high light,0 min,39.7592,2.817257109
171,19.54,high light,0 min,39.50445,2.696262913
172,19.655,high light,0 min,39.577225,2.854589734
173,19.77,high light,0 min,39.330225,2.706634197
174,19.885,high light,0 min,39.26505,2.736473458
175,20,high light,0 min,39.2276,2.734857666
176,20.115,high light,0 min,39.0533,2.630892909
177,20.23,high light,0 min,39.1945,2.74264332
178,20.345,high light,0 min,38.9999,2.594785255
179,20.46,high light,0 min,39.027375,2.661330059
180,20.575,high light,0 min,38.94405,2.618861679
181,20.69,high light,0 min,38.71845,2.498756777
182,20.805,high light,0 min,38.82815,2.570457188
183,20.92,high light,0 min,38.59385,2.342895487
184,21.034,high light,0 min,38.66325,2.356657082
185,21.149,high light,0 min,38.539025,2.29438215
186,21.264,high light,0 min,38.37925,2.229013339
187,21.379,high light,0 min,38.459425,2.368523155
188,21.494,high light,0 min,38.21035,2.219720719
189,21.609,high light,0 min,38.361925,2.343914936
190,21.724,high light,0 min,38.324075,2.325713659
191,21.839,high light,0 min,38.3136,2.287893733
192,21.954,high light,0 min,38.3797,2.378997123
193,22.069,high light,0 min,38.1545,2.266884027
194,22.184,high light,0 min,38.27175,2.455191963
195,22.299,high light,0 min,38.139075,2.432161128
196,22.414,high light,0 min,38.127425,2.468349649
197,22.529,high light,0 min,38.17565,2.595639587
198,22.644,high light,0 min,38.031225,2.478608721
