GENEID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,log10padj
LOC_Os01g06490,29.75780311,-0.68790603,0.911735444,-0.754614639,0.450480237,0.608581474,0.215681272
LOC_Os01g06590,216.3843321,-0.398111075,0.38520522,-1.033504746,0.301367751,0.460867145,0.336424251
LOC_Os01g06600,477.7165931,-0.383904024,0.245540922,-1.563495315,0.117936137,0.227431746,0.643148914
LOC_Os01g06620,17.64694484,-1.658392054,1.172307758,-1.41114461,0.158201979,0.285227582,0.54480848
LOC_Os01g06680,40.85966023,0.246042939,0.729739971,0.337300173,0.735890629,0.838885464,0.076297331
LOC_Os01g07070,459.3910051,0.412493169,0.270981432,1.522199059,0.127959211,0.242393902,0.61547831
LOC_Os01g07080,67.24678203,-0.687476687,0.529936979,-1.297201544,0.19456185,0.333946909,0.476322571
LOC_Os01g07100,13.10940516,0.139522779,1.035676649,0.13478117,0.892784894,0.93897758,0.027344777
LOC_Os01g07120,55.03565462,-0.284296954,0.633086542,-0.448903927,0.653500963,0.776288304,0.109976957
LOC_Os01g07170,24.97867599,-0.861630633,0.943674814,-0.911917467,0.361812166,0.524695995,0.280092251
LOC_Os01g07200,520.172633,0.488968617,0.246850149,1.980818345,0.047611649,0.108375344,0.965069513
LOC_Os01g07250,236.0329309,-0.267210392,0.355243302,-0.752206168,0.451927085,0.610012404,0.214661334
LOC_Os01g07260,29.93037061,-1.479385494,0.81933285,-1.805280308,0.07103083,0.150720218,0.821828487
LOC_Os01g07280,20.6515859,0.170195087,0.894628463,0.190144867,0.849195613,0.912644595,0.039698314
LOC_Os01g07300,80.0385352,0.464210177,0.565887764,0.820330675,0.412027624,0.574160137,0.240966963
LOC_Os01g07310,130.4386609,-0.382047943,0.499536274,-0.764664791,0.444471177,0.603676717,0.219195574
LOC_Os01g07330,55.3712055,1.948455486,0.854901958,2.278504179,0.022696556,0.05795116,1.236937863
LOC_Os01g07350,12.36120366,-0.903255825,1.185476148,-0.761056085,0.446623569,0.605659124,0.217771736
LOC_Os01g07370,462.5626913,-0.331965816,0.276076894,-1.202439324,0.229193361,0.377846037,0.422685129
LOC_Os01g07376,95.96616239,-0.555351274,0.550712343,-1.008325211,0.313298364,0.47341045,0.32476216
LOC_Os01g07382,88.79480274,-0.037235375,0.527347397,-0.070618898,0.943701069,0.970910757,0.012820687
LOC_Os01g07390,944.4705071,-0.566269111,0.214632736,-2.638296079,0.00833238,0.024275294,1.614835506
LOC_Os01g07400,37.84647122,-0.076418049,0.707375943,-0.10806498,0.913944148,0.95212838,0.02130449
LOC_Os01g07410,10.41058027,-0.096349623,1.188505513,-0.080813881,0.935589969,0.965342846,0.015318417
LOC_Os01g07490,29.9599988,0.344790878,0.755292125,0.456413706,0.648092511,0.772136868,0.11230571
LOC_Os01g07520,200.9187193,0.40564355,0.377546303,1.074406618,0.282640477,0.440621216,0.355934595
LOC_Os01g07530,164.9448565,0.033886989,0.404226145,0.083835743,0.933187029,0.964001253,0.015922401
LOC_Os01g07540,28.442619,-0.931257975,0.80709196,-1.152347139,0.249178453,0.401749195,0.396044985
LOC_Os01g07590,37.29607821,-0.506291792,0.788398727,-0.642064085,0.520831574,0.66942789,0.174296198
LOC_Os01g07620,79.76042416,0.439981351,0.787004689,0.558986141,0.576171179,0.714414126,0.146049967
LOC_Os01g07630,37.48489034,0.140954326,0.758491196,0.185766711,0.852627711,0.914462872,0.038833923
LOC_Os01g07720,34.97261658,0.068401685,0.74396288,0.091909531,0.926769919,0.959892809,0.017777262
LOC_Os01g07740,147.313508,0.668202308,0.390602162,1.710708898,0.087134864,0.178048854,0.749460817
LOC_Os01g07750,237.4955318,0.200749475,0.328233769,0.611604213,0.54079965,0.685426266,0.164039257
LOC_Os01g07760,4965.050283,0.553553525,0.15237202,3.632907502,0.000280245,0.001147228,2.940350385
