"","BSS_0_1","BSS_0_2","BSS_0_3","M_0_1","M_0_2","M_0_3"
"LOC_Os10g42320",377.888210664743,588.087515936935,649.646117350189,683.030721074329,589.36311055469,713.413666463713
"LOC_Os10g42410",9478.35734133286,9517.55428091039,9110.0787761967,2009.43231490254,4829.15308100227,4163.29841362069
"LOC_Os10g42420",113.77279460874,248.416278283705,133.150609175907,286.43223786988,262.376892800417,192.181079664995
"LOC_Os10g42430",568.863973043698,463.034423467587,481.597163027372,426.343369444783,528.693378585825,636.541234597715
"LOC_Os10g42439",321.001813360373,557.669196147093,463.879541645094,598.202712166711,380.564682350154,560.606271413009
"LOC_Os10g42500",170.65919191311,255.17590490367,181.471394763937,397.700145657795,404.202240260102,450.922435701769
"LOC_Os10g42510",24.3798845590157,59.1467329246917,33.8245499116214,42.964835680482,29.9409066859334,44.9984967020476
"LOC_Os10g42540",1491.23627219312,1091.67969912431,1383.58516067061,371.260246777498,438.082739931026,562.481208775595
"LOC_Os10g42550",144.924869323037,79.425612784586,115.969885411273,134.402819308174,16.5462905369632,89.0595247228025
"LOC_Os10g42610",78.5574058012727,76.0457994746036,93.4201854701925,5.50831226672846,1.5758371939965,24.3741857136091
"LOC_Os10g42630",157.114811602545,339.67123765323,200.799708999149,107.962920427878,118.975708146736,115.308647798997
"LOC_Os10g42650",234.317779372762,233.207118388784,358.110710969071,223.637478029175,233.223904711482,255.928949992896
"LOC_Os10g42690",54.177521242257,35.488039754815,45.6362974998067,16.5249368001854,38.6080112529142,6.56228076904861
"LOC_Os10g42700",78.5574058012727,92.9448660245155,48.8576832056754,452.783268325079,235.587660502476,205.305641203092
"LOC_Os10g42710",1558.95817374595,1630.7599220665,1841.02193090397,1355.0448176152,1468.68026480474,1761.5036521489
"LOC_Os10g42720",139.507117198812,224.757585113829,194.893835205057,499.053091365598,430.203553961044,434.047999438501
"LOC_Os10g42724",79.9118438323291,125.053092469348,66.5753045879533,46.2698230405191,26.7892322979405,30.9364664826577
"LOC_Os10g42754",37.9242648695799,55.7669196147093,30.0662665881079,11.0166245334569,11.0308603579755,9.37468681292658
"LOC_Os10g42790",223.48227512431,267.005251488608,239.456337469574,36.3548609604078,58.3059761778704,71.247619778242
