"","TXNAME","GENEID"
"3983","LOC_Os01g38200.1","LOC_Os01g38200"
"3984","LOC_Os01g38229.4","LOC_Os01g38229"
"3985","LOC_Os01g38229.1","LOC_Os01g38229"
"3986","LOC_Os01g38229.3","LOC_Os01g38229"
"3987","LOC_Os01g38229.2","LOC_Os01g38229"
"3988","LOC_Os01g38244.1","LOC_Os01g38244"
"3989","LOC_Os01g38244.2","LOC_Os01g38244"
"3990","LOC_Os01g38244.3","LOC_Os01g38244"
"3991","LOC_Os01g38260.1","LOC_Os01g38260"
"3992","LOC_Os01g38270.1","LOC_Os01g38270"
"3993","LOC_Os01g38280.1","LOC_Os01g38280"
"3994","LOC_Os01g38290.1","LOC_Os01g38290"
"3995","LOC_Os01g38300.1","LOC_Os01g38300"
"3996","LOC_Os01g38310.1","LOC_Os01g38310"
"3997","LOC_Os01g38320.1","LOC_Os01g38320"
"3998","LOC_Os01g38330.1","LOC_Os01g38330"
"3999","LOC_Os01g38340.1","LOC_Os01g38340"
"4000","LOC_Os01g38359.1","LOC_Os01g38359"
"4001","LOC_Os01g38359.2","LOC_Os01g38359"
"4002","LOC_Os01g38380.1","LOC_Os01g38380"
"4003","LOC_Os01g38390.1","LOC_Os01g38390"
"4004","LOC_Os01g38400.1","LOC_Os01g38400"
"4005","LOC_Os01g38410.1","LOC_Os01g38410"
"4006","LOC_Os01g38420.1","LOC_Os01g38420"
"4007","LOC_Os01g38430.1","LOC_Os01g38430"
"4008","LOC_Os01g38440.1","LOC_Os01g38440"
"4009","LOC_Os01g38450.1","LOC_Os01g38450"
"4010","LOC_Os01g38460.1","LOC_Os01g38460"
"4011","LOC_Os01g38480.1","LOC_Os01g38480"
"4012","LOC_Os01g38480.2","LOC_Os01g38480"
"4013","LOC_Os01g38480.3","LOC_Os01g38480"
"4014","LOC_Os01g38490.1","LOC_Os01g38490"
"4015","LOC_Os01g38500.1","LOC_Os01g38500"
"4016","LOC_Os01g38510.1","LOC_Os01g38510"
"4017","LOC_Os01g38520.1","LOC_Os01g38520"
"4018","LOC_Os01g38530.1","LOC_Os01g38530"
"4019","LOC_Os01g38530.2","LOC_Os01g38530"
"4020","LOC_Os01g38540.1","LOC_Os01g38540"
"4021","LOC_Os01g38550.1","LOC_Os01g38550"
"4022","LOC_Os01g38560.1","LOC_Os01g38560"
"4023","LOC_Os01g38570.1","LOC_Os01g38570"
"4024","LOC_Os01g38580.1","LOC_Os01g38580"
"4025","LOC_Os01g38580.2","LOC_Os01g38580"
"4026","LOC_Os01g38590.1","LOC_Os01g38590"
"4027","LOC_Os01g38600.1","LOC_Os01g38600"
"4028","LOC_Os01g38610.1","LOC_Os01g38610"
"4029","LOC_Os01g38620.2","LOC_Os01g38620"
"4030","LOC_Os01g38620.1","LOC_Os01g38620"
"4031","LOC_Os01g38620.3","LOC_Os01g38620"
"4032","LOC_Os01g38640.1","LOC_Os01g38640"
"4033","LOC_Os01g38650.1","LOC_Os01g38650"
"4034","LOC_Os01g38660.1","LOC_Os01g38660"
"4035","LOC_Os01g38670.1","LOC_Os01g38670"
"4036","LOC_Os01g38680.1","LOC_Os01g38680"
"4037","LOC_Os01g38690.1","LOC_Os01g38690"
"4038","LOC_Os01g38700.1","LOC_Os01g38700"
"4039","LOC_Os01g38710.1","LOC_Os01g38710"
"4040","LOC_Os01g38720.1","LOC_Os01g38720"
"4041","LOC_Os01g38730.1","LOC_Os01g38730"
"4042","LOC_Os01g38740.1","LOC_Os01g38740"
"4043","LOC_Os01g38750.1","LOC_Os01g38750"
"4044","LOC_Os01g38760.1","LOC_Os01g38760"
"4045","LOC_Os01g38780.1","LOC_Os01g38780"
"4046","LOC_Os01g38790.1","LOC_Os01g38790"
"4047","LOC_Os01g38800.1","LOC_Os01g38800"
"4048","LOC_Os01g38810.1","LOC_Os01g38810"
"4049","LOC_Os01g38820.1","LOC_Os01g38820"
"4050","LOC_Os01g38830.1","LOC_Os01g38830"
"4051","LOC_Os01g38840.1","LOC_Os01g38840"
"4052","LOC_Os01g38850.1","LOC_Os01g38850"
"4053","LOC_Os01g38860.1","LOC_Os01g38860"
"4054","LOC_Os01g38870.1","LOC_Os01g38870"
"4055","LOC_Os01g38880.1","LOC_Os01g38880"
"4056","LOC_Os01g38890.1","LOC_Os01g38890"
"4057","LOC_Os01g38900.1","LOC_Os01g38900"
"4058","LOC_Os01g38910.1","LOC_Os01g38910"
"4059","LOC_Os01g38920.1","LOC_Os01g38920"
"4060","LOC_Os01g38930.1","LOC_Os01g38930"
"4061","LOC_Os01g38940.1","LOC_Os01g38940"
"4062","LOC_Os01g38950.1","LOC_Os01g38950"
"4063","LOC_Os01g38960.1","LOC_Os01g38960"
"4064","LOC_Os01g38970.1","LOC_Os01g38970"
"4065","LOC_Os01g38980.2","LOC_Os01g38980"
"4066","LOC_Os01g38980.1","LOC_Os01g38980"
"4067","LOC_Os01g38990.1","LOC_Os01g38990"
"4068","LOC_Os01g39000.3","LOC_Os01g39000"
"4069","LOC_Os01g39000.1","LOC_Os01g39000"
"4070","LOC_Os01g39000.2","LOC_Os01g39000"
"4071","LOC_Os01g39010.1","LOC_Os01g39010"
"4072","LOC_Os01g39020.1","LOC_Os01g39020"
"4073","LOC_Os01g39030.1","LOC_Os01g39030"
"4074","LOC_Os01g39040.1","LOC_Os01g39040"
"4075","LOC_Os01g39050.1","LOC_Os01g39050"
"4076","LOC_Os01g39060.1","LOC_Os01g39060"
"4077","LOC_Os01g39070.1","LOC_Os01g39070"
"4078","LOC_Os01g39080.1","LOC_Os01g39080"
"4079","LOC_Os01g39090.1","LOC_Os01g39090"
"4080","LOC_Os01g39100.1","LOC_Os01g39100"
"4081","LOC_Os01g39110.1","LOC_Os01g39110"
"4082","LOC_Os01g39120.1","LOC_Os01g39120"
"4083","LOC_Os01g39134.1","LOC_Os01g39134"
"4084","LOC_Os01g39134.2","LOC_Os01g39134"
"4085","LOC_Os01g39136.1","LOC_Os01g39136"
"4086","LOC_Os01g39150.1","LOC_Os01g39150"
"4087","LOC_Os01g39160.1","LOC_Os01g39160"
"4088","LOC_Os01g39170.1","LOC_Os01g39170"
"4089","LOC_Os01g39180.1","LOC_Os01g39180"
"4090","LOC_Os01g39190.1","LOC_Os01g39190"
"4091","LOC_Os01g39200.1","LOC_Os01g39200"
"4092","LOC_Os01g39210.1","LOC_Os01g39210"
"4093","LOC_Os01g39220.1","LOC_Os01g39220"
"4094","LOC_Os01g39230.1","LOC_Os01g39230"
"4095","LOC_Os01g39250.1","LOC_Os01g39250"
"4096","LOC_Os01g39260.1","LOC_Os01g39260"
"4097","LOC_Os01g39270.1","LOC_Os01g39270"
"4098","LOC_Os01g39280.1","LOC_Os01g39280"
"4099","LOC_Os01g39290.1","LOC_Os01g39290"
"4100","LOC_Os01g39310.1","LOC_Os01g39310"
"4101","LOC_Os01g39310.3","LOC_Os01g39310"
"4102","LOC_Os01g39320.1","LOC_Os01g39320"
"4103","LOC_Os01g39330.1","LOC_Os01g39330"
"4104","LOC_Os01g39340.1","LOC_Os01g39340"
"4105","LOC_Os01g39350.1","LOC_Os01g39350"
"4106","LOC_Os01g39360.1","LOC_Os01g39360"
"4107","LOC_Os01g39370.1","LOC_Os01g39370"
"4108","LOC_Os01g39380.1","LOC_Os01g39380"
"4109","LOC_Os01g39380.2","LOC_Os01g39380"
"4110","LOC_Os01g39380.3","LOC_Os01g39380"
"4111","LOC_Os01g39385.1","LOC_Os01g39385"
"4112","LOC_Os01g39399.1","LOC_Os01g39399"
"4113","LOC_Os01g39420.1","LOC_Os01g39420"
"4114","LOC_Os01g39430.1","LOC_Os01g39430"
"4115","LOC_Os01g39440.1","LOC_Os01g39440"
"4116","LOC_Os01g39450.1","LOC_Os01g39450"
"4117","LOC_Os01g39464.1","LOC_Os01g39464"
"4118","LOC_Os01g39480.1","LOC_Os01g39480"
"4119","LOC_Os01g39490.1","LOC_Os01g39490"
"4120","LOC_Os01g39500.1","LOC_Os01g39500"
"4121","LOC_Os01g39510.1","LOC_Os01g39510"
"4122","LOC_Os01g39520.1","LOC_Os01g39520"
"4123","LOC_Os01g39530.1","LOC_Os01g39530"
"4124","LOC_Os01g39540.1","LOC_Os01g39540"
"4125","LOC_Os01g39550.1","LOC_Os01g39550"
"4126","LOC_Os01g39560.1","LOC_Os01g39560"
"4127","LOC_Os01g39570.1","LOC_Os01g39570"
"4128","LOC_Os01g39580.1","LOC_Os01g39580"
"4129","LOC_Os01g39590.1","LOC_Os01g39590"
"4130","LOC_Os01g39600.1","LOC_Os01g39600"
"4131","LOC_Os01g39600.2","LOC_Os01g39600"
"4132","LOC_Os01g39630.1","LOC_Os01g39630"
"4133","LOC_Os01g39630.2","LOC_Os01g39630"
"4134","LOC_Os01g39640.1","LOC_Os01g39640"
"4135","LOC_Os01g39650.1","LOC_Os01g39650"
"4136","LOC_Os01g39660.1","LOC_Os01g39660"
"4137","LOC_Os01g39670.1","LOC_Os01g39670"
"4138","LOC_Os01g39680.1","LOC_Os01g39680"
"4139","LOC_Os01g39680.2","LOC_Os01g39680"
"4140","LOC_Os01g39680.3","LOC_Os01g39680"
"4141","LOC_Os01g39690.1","LOC_Os01g39690"
"4142","LOC_Os01g39700.1","LOC_Os01g39700"
"4143","LOC_Os01g39710.1","LOC_Os01g39710"
"4144","LOC_Os01g39720.1","LOC_Os01g39720"
"4145","LOC_Os01g39730.1","LOC_Os01g39730"
"4146","LOC_Os01g39740.1","LOC_Os01g39740"
"4147","LOC_Os01g39750.1","LOC_Os01g39750"
"4148","LOC_Os01g39760.1","LOC_Os01g39760"
"4149","LOC_Os01g39770.1","LOC_Os01g39770"
"4150","LOC_Os01g39770.2","LOC_Os01g39770"
"4151","LOC_Os01g39770.3","LOC_Os01g39770"
"4152","LOC_Os01g39780.1","LOC_Os01g39780"
"4153","LOC_Os01g39790.2","LOC_Os01g39790"
"4154","LOC_Os01g39790.1","LOC_Os01g39790"
